name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Bennett Realty·Visited link,"118 E Traer St, Greene, IA 50636, United States",No Website,+1 641-330-9219,0,5.0,42.8959848,-95.1085696
Nemmers Realty·Visited link,"108 North Riverview St, Bellevue, IA 52031, United States",nemmersrealty.com,+1 563-872-3490,52,5.0,42.2589773,-92.730473
San Juan Catholic Church·Visited link,"304 Plant Ave SW, Branford, FL 32008, United States",sanjuanmission.org,+1 386-935-2632,30,5.0,29.9606544,-101.3802362
Catholic Charities Bureau·Visited link,"553 NW Railroad St, Lake City, FL 32055, United States",catholiccharitieslakecity.org,+1 386-754-9180,169,5.0,29.9606544,-101.3802362
Artists' Workshop Gallery·Visited link,"610A Central Ave, Hot Springs, AR 71901, United States",artistsworkshopgallery.com,+1 501-623-6401,24,4.5,34.481001,-93.1066556
Lake Hamilton Realty·Visited link,"4425 Central Ave Suite C, Hot Springs, AR 71913, United States",lakehamiltonrealty.com,+1 501-525-1466,42,4.5,34.4506085,-93.148776
The Drifter's Table·Visited link,"820 Main St, Loyalton, CA 96118, United States",thedrifterstable.com,+1 530-993-4312,42,4.8,39.6757228,-120.2445408
The Frogs-Ty·Visited link,"319 Main St, Loyalton, CA 96118, United States",No Website,+1 530-993-6016,118,4.8,39.6760956,-120.249966
"Macaluso & Fafinski, P.C.·Visited link","1 Fordham Plaza #1002, Bronx, NY 10458, United States",lawyers24-7.com,+1 718-364-4000,188,5.0,41.3794099,-76.1418833
"Daniella Levi & Associates, P.C.·Visited link","159-16 Union Tpke # 200, Fresh Meadows, NY 11366, United States",levilawny.com,+1 718-925-3404,294,5.0,41.3794099,-76.1418833
Ken Morrison Insurance Agency·Visited link,No Address,kenmorrisoninsuranceagency.com,+1 334-863-2135,0,5.0,32.545656,-89.1260871
Bridgeway Insurance - Darlene Shelton Agency·Visited link,"996 N Brindlee Mountain Pkwy, Arab, AL 35016, United States",bridgewayins.com,+1 256-931-4226,15,5.0,32.545656,-89.1260871
Tri State Landscape Equipment And Supplies·Visited link,"4425 Rising Sun Ave, Philadelphia, PA 19140, United States",tristatesupply.net,+1 215-754-0116,124,4.8,37.5423961,-119.2843705
Delco Turf·Visited link,"18 S Highland Ave, Lansdowne, PA 19050, United States",delcoturf.com,+1 484-452-3939,6,4.8,37.5423961,-119.2843705
"Benicht Painting, Concrete coatings, and Remodeling LLC·Visited link","1439 Rue Riviere Dr, Port Allen, LA 70767, United States",benicht.com,+1 225-314-8147,14,5.0,30.4133311,-165.0465218
Painting with a Twist·Visited link,"711 Jefferson Hwy Ste 3A, Baton Rouge, LA 70806, United States",paintingwithatwist.com,+1 225-927-7077,411,5.0,30.4133311,-165.0465218
Applied Power Wash·Visited link,No Address,appliedpressurewashing.net,+1 484-949-8117,137,5.0,40.1437335,-76.62622
JD Powerwashing·Visited link,No Address,jdpowerwashing.com,+1 215-901-3924,88,5.0,40.1437335,-76.62622
Pleasant Hill Car Wash·Visited link,"Old Rte 119 Hwy N, Indiana, PA 15701, United States",No Website,+1 724-463-6480,69,3.8,40.6402893,-79.7146224
Indy Auto Wash·Visited link,"41 S 4th St, Indiana, PA 15701, United States",No Website,+1 724-705-9717,50,3.8,40.6402893,-79.7146224
LEWIS COUNTY AXE THROWING·Visited link,No Address,lewiscountyaxethrowing.com,+1 360-551-0554,23,5.0,46.5889424,163.8089326
PNW Axe House·Visited link,"255 N Market Blvd, Chehalis, WA 98532, United States",pnwaxehouse.com,+1 360-557-8034,16,5.0,46.6631363,163.2050807
American Arms Gun Shop & Indoor Range·Visited link,"777 Guthrie Rd, Bedford, IN 47421, United States",2arange.com,+1 812-287-8531,408,4.9,38.9741298,-91.1501264
Range USA Evansville·Visited link,"1011 Cross Pointe Pl, Evansville, IN 47715, United States",rangeusa.com,+1 812-618-4719,78,4.9,38.9741298,-91.1501264
PLS Check Cashers·Visited link,"835 W Main St, Lewisville, TX 75067, United States",pls247.com,+1 214-222-3678,1105,4.9,33.0454231,-97.5902972
PLS Check Cashers·Visited link,"2502 S Carrier Pkwy, Grand Prairie, TX 75052, United States",pls247.com,+1 214-988-0101,892,4.9,33.0454231,-97.5902972
Riverhead Building Supply·Visited link,"333 Hallock Ave, Port Jefferson Station, NY 11776, United States",rbscorp.com,+1 631-928-1515,54,4.7,40.7971188,-74.1058372
"JM Troffa Hardscape, Mason and Building Supply, Inc.·Visited link","70 Comsewogue Rd Suite #21, Setauket- East Setauket, NY 11733, United States",troffahardscape.com,+1 631-828-1420,29,4.7,40.7971188,-74.1058372
Armory Fitness·Visited link,"9895 US-12, Twodot, MT 59085, United States",studio.xplor.co,+1 406-632-4879,11,5.0,,
Duncan Ranch Colony·Visited link,No Address,No Website,No Phone,0,5.0,46.4443738,-110.0976163
O’Hair Salon·Visited link,"61 Sparrow Ct, Port Ludlow, WA 98365, United States",No Website,+1 360-437-5182,6,5.0,,
Ludlow Bay Massage & Wellness Spa·Visited link,"91 Village Way, Port Ludlow, WA 98365, United States",portludlowspa.com,+1 360-437-3798,32,5.0,47.9242741,-122.7368255
D'Lux Beauty Box Microblading·Visited link,"383 W Drake Rd #203, Fort Collins, CO 80525, United States",dluxbeautybox.com,+1 970-213-6420,177,4.9,40.5522906,-106.2367418
TruBrows Microblading & Academy Denver·Visited link,"8501 W Bowles Ave, Littleton, CO 80123, United States",trubrows.com,+1 720-937-6633,425,4.9,39.6119332,-106.2491293
Radiance By Roxanne·Visited link,"11742 Main St Suite 1, Roscoe, IL 61073, United States",radiancebyroxanne.com,+1 779-208-0052,182,5.0,42.4308318,-98.2440962
Absolut Aesthetics & Wellness Medspa·Visited link,"949 Clocktower Dr, Springfield, IL 62704, United States",aesthetics-wellness.com,+1 217-679-3598,50,5.0,42.4308318,-98.2440962
Pfeffer Orthodontics·Visited link,"508 Logan Blvd, Altoona, PA 16602, United States",pfefferortho.com,+1 814-943-5521,13,4.7,40.4789884,-80.7116507
Ai Orthodontics·Visited link,"550 Harrison St, Emmaus, PA 18049, United States",aiorthodontics.com,+1 610-965-6898,206,4.7,40.5379881,-77.8055711
K & B Motors LLC·Visited link,"8820 FM725, McQueeney, TX 78123, United States",kbmotors.net,+1 830-307-5743,15,4.6,29.5934492,-98.1875135
Gunn Chrysler Dodge Jeep RAM·Visited link,"1550 W Kingsbury St, Seguin, TX 78155, United States",gunncdjr.com,+1 830-303-3005,996,4.6,29.5934492,-98.1875135
Bloor Homes at Alderley Gate,"Sales & Marketing Suite Alderley Gate, Manchester Rd, Congleton CW12 2HX",bloorhomes.com,No Phone,0,5.0,53.1744179,-2.2447702
Parr Meadows - Anwyl Homes,"Parr Ln, Eccleston, Chorley PR7 5RP",anwylhomes.co.uk,01257 650394,0,5.0,53.6490901,-2.7559098
Community Foundation For Merseyside·Visited link,"Third Floor Stanley Buildings, 43 Hanover St, Liverpool L1 3DN",cfmerseyside.org.uk,0330 440 4900,2,5.0,53.4025688,-3.0225609
Liverpool Charity and Voluntary Services (LCVS)·Visited link,"151 Dale St, Liverpool L2 2AH",No Website,0151 227 5177,62,5.0,53.4025688,-3.0225609
